GO_term,locusName,fx
GO:0000045,Solyc02g080590,Biological Process:autophagosome assembly
GO:0000045,Solyc08g007400,Biological Process:autophagosome assembly
GO:0000045,Solyc03g031650,Biological Process:autophagosome assembly
GO:0000045,Solyc08g078820,Biological Process:autophagosome assembly
GO:0000045,Solyc07g064680,Biological Process:autophagosome assembly
GO:0000045,Solyc10g006270,Biological Process:autophagosome assembly
GO:0000045,Solyc01g068060,Biological Process:autophagosome assembly
GO:0000045,Solyc12g049310,Biological Process:autophagosome assembly
GO:0000055,Solyc12g099890,Biological Process:ribosomal large subunit export from nucleus
GO:0000075,Solyc10g044780,Biological Process:cell cycle checkpoint signaling
GO:0000077,Solyc06g076660,Biological Process:DNA damage checkpoint signaling
GO:0000077,Solyc10g044780,Biological Process:DNA damage checkpoint signaling
GO:0000077,Solyc03g117530,Biological Process:DNA damage checkpoint signaling
GO:0000077,Solyc04g026070,Biological Process:DNA damage checkpoint signaling
GO:0000077,Solyc08g044480,Biological Process:DNA damage checkpoint signaling
GO:0000077,Solyc01g086930,Biological Process:DNA damage checkpoint signaling
GO:0000079,Solyc01g099310,Biological Process:regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000079,Solyc06g083260,Biological Process:regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000079,Solyc07g032480,Biological Process:regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000079,Solyc01g098350,Biological Process:regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000079,Solyc10g078180,Biological Process:regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000079,Solyc09g075760,Biological Process:regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000079,Solyc00g020940,Biological Process:regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000079,Solyc04g072880,Biological Process:regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000090,Solyc08g006630,Biological Process:mitotic anaphase
GO:0000103,Solyc02g092410,Biological Process:sulfate assimilation
GO:0000105,Solyc02g071890,Biological Process:histidine biosynthetic process
GO:0000105,Solyc10g005930,Biological Process:histidine biosynthetic process
GO:0000105,Solyc07g064810,Biological Process:histidine biosynthetic process
GO:0000105,Solyc05g056150,Biological Process:histidine biosynthetic process
GO:0000105,Solyc01g103750,Biological Process:histidine biosynthetic process
GO:0000105,Solyc09g076020,Biological Process:histidine biosynthetic process
GO:0000160,Solyc03g083340,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc01g080540,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc03g081240,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc10g050420,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc07g019550,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc11g066200,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc10g079600,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc04g051080,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc10g005030,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc07g019560,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc03g115770,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc11g066230,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc11g071630,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc02g071220,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc05g014260,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc06g048930,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc06g048600,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc01g065540,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc11g066220,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc11g066190,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc07g047770,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc11g072330,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc06g069690,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc12g011330,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc06g061030,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc03g026250,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc08g066350,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc11g066180,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc10g079700,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc06g084410,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc08g077230,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc07g005140,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc12g099720,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc05g015610,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc01g098400,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc07g009580,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc10g086000,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc02g031820,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc11g070150,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc05g054390,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc12g010330,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc11g006180,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc08g068960,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc05g055070,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc00g055950,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc09g089610,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc12g099380,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc03g113720,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc02g083670,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc05g006420,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc06g053710,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc04g008110,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc03g116720,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc12g099670,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc07g009110,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc11g066170,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc04g049670,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc07g056580,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc04g008050,Biological Process:phosphorelay signal transduction system
GO:0000162,Solyc12g096190,Biological Process:tryptophan biosynthetic process
