GO_term,locusName,fx
GO:0000015,Solyc03g114500,Cellular Component:phosphopyruvate hydratase complex
GO:0000015,Solyc10g085550,Cellular Component:phosphopyruvate hydratase complex
GO:0000015,Solyc06g076650,Cellular Component:phosphopyruvate hydratase complex
GO:0000015,Solyc09g009020,Cellular Component:phosphopyruvate hydratase complex
GO:0000015,Solyc10g045050,Cellular Component:phosphopyruvate hydratase complex
GO:0000123,Solyc01g008200,Cellular Component:histone acetyltransferase complex
GO:0000123,Solyc01g008190,Cellular Component:histone acetyltransferase complex
GO:0000124,Solyc06g063010,Cellular Component:SAGA complex
GO:0000126,Solyc01g088720,Cellular Component:transcription factor TFIIIB complex
GO:0000139,Solyc02g075610,Cellular Component:Golgi membrane
GO:0000139,Solyc09g098520,Cellular Component:Golgi membrane
GO:0000139,Solyc05g051590,Cellular Component:Golgi membrane
GO:0000139,Solyc01g095540,Cellular Component:Golgi membrane
GO:0000139,Solyc08g081410,Cellular Component:Golgi membrane
GO:0000139,Solyc11g008610,Cellular Component:Golgi membrane
GO:0000139,Solyc06g065740,Cellular Component:Golgi membrane
GO:0000139,Solyc01g091020,Cellular Component:Golgi membrane
GO:0000139,Solyc11g008590,Cellular Component:Golgi membrane
GO:0000139,Solyc01g091150,Cellular Component:Golgi membrane
GO:0000145,Solyc02g094370,Cellular Component:exocyst
GO:0000145,Solyc03g111320,Cellular Component:exocyst
GO:0000145,Solyc11g006620,Cellular Component:exocyst
GO:0000145,Solyc04g077760,Cellular Component:exocyst
GO:0000145,Solyc10g081940,Cellular Component:exocyst
GO:0000145,Solyc02g088800,Cellular Component:exocyst
GO:0000145,Solyc06g005280,Cellular Component:exocyst
GO:0000145,Solyc04g009740,Cellular Component:exocyst
GO:0000145,Solyc04g071350,Cellular Component:exocyst
GO:0000145,Solyc12g096370,Cellular Component:exocyst
GO:0000145,Solyc03g115070,Cellular Component:exocyst
GO:0000145,Solyc12g055770,Cellular Component:exocyst
GO:0000145,Solyc08g069100,Cellular Component:exocyst
GO:0000145,Solyc08g066070,Cellular Component:exocyst
GO:0000145,Solyc12g056520,Cellular Component:exocyst
GO:0000145,Solyc09g075280,Cellular Component:exocyst
GO:0000145,Solyc09g005830,Cellular Component:exocyst
GO:0000145,Solyc09g005840,Cellular Component:exocyst
GO:0000145,Solyc05g024340,Cellular Component:exocyst
GO:0000145,Solyc03g122240,Cellular Component:exocyst
GO:0000145,Solyc12g096290,Cellular Component:exocyst
GO:0000145,Solyc01g009880,Cellular Component:exocyst
GO:0000145,Solyc05g054820,Cellular Component:exocyst
GO:0000145,Solyc11g073010,Cellular Component:exocyst
GO:0000145,Solyc06g075610,Cellular Component:exocyst
GO:0000145,Solyc04g072290,Cellular Component:exocyst
GO:0000145,Solyc06g062990,Cellular Component:exocyst
GO:0000148,Solyc07g053980,"Cellular Component:1,3-beta-D-glucan synthase complex"
GO:0000148,Solyc02g078230,"Cellular Component:1,3-beta-D-glucan synthase complex"
GO:0000148,Solyc03g111570,"Cellular Component:1,3-beta-D-glucan synthase complex"
GO:0000148,Solyc01g006350,"Cellular Component:1,3-beta-D-glucan synthase complex"
GO:0000148,Solyc01g006370,"Cellular Component:1,3-beta-D-glucan synthase complex"
GO:0000148,Solyc07g061920,"Cellular Component:1,3-beta-D-glucan synthase complex"
GO:0000148,Solyc11g005980,"Cellular Component:1,3-beta-D-glucan synthase complex"
GO:0000148,Solyc07g056260,"Cellular Component:1,3-beta-D-glucan synthase complex"
GO:0000148,Solyc01g073750,"Cellular Component:1,3-beta-D-glucan synthase complex"
GO:0000151,Solyc04g054140,Cellular Component:ubiquitin ligase complex
GO:0000151,Solyc02g088550,Cellular Component:ubiquitin ligase complex
GO:0000151,Solyc06g074770,Cellular Component:ubiquitin ligase complex
GO:0000159,Solyc12g044800,Cellular Component:protein phosphatase type 2A complex
GO:0000159,Solyc02g067980,Cellular Component:protein phosphatase type 2A complex
GO:0000159,Solyc06g071560,Cellular Component:protein phosphatase type 2A complex
GO:0000159,Solyc10g083920,Cellular Component:protein phosphatase type 2A complex
GO:0000159,Solyc09g008400,Cellular Component:protein phosphatase type 2A complex
GO:0000159,Solyc01g111790,Cellular Component:protein phosphatase type 2A complex
GO:0000159,Solyc06g062530,Cellular Component:protein phosphatase type 2A complex
GO:0000159,Solyc12g006920,Cellular Component:protein phosphatase type 2A complex
GO:0000159,Solyc03g121410,Cellular Component:protein phosphatase type 2A complex
GO:0000159,Solyc06g065690,Cellular Component:protein phosphatase type 2A complex
GO:0000159,Solyc05g055530,Cellular Component:protein phosphatase type 2A complex
GO:0000159,Solyc07g049220,Cellular Component:protein phosphatase type 2A complex
GO:0000159,Solyc05g014340,Cellular Component:protein phosphatase type 2A complex
GO:0000159,Solyc02g093800,Cellular Component:protein phosphatase type 2A complex
GO:0000172,Solyc09g007370,Cellular Component:ribonuclease MRP complex
GO:0000176,Solyc10g018520,Cellular Component:nuclear exosome (RNase complex)
GO:0000178,Solyc04g050480,Cellular Component:exosome (RNase complex)
GO:0000178,Solyc06g071460,Cellular Component:exosome (RNase complex)
GO:0000178,Solyc09g074090,Cellular Component:exosome (RNase complex)
GO:0000221,Solyc07g005940,"Cellular Component:vacuolar proton-transporting V-type ATPase, V1 domain"
GO:0000221,Solyc12g009890,"Cellular Component:vacuolar proton-transporting V-type ATPase, V1 domain"
GO:0000228,Solyc11g013430,Cellular Component:nuclear chromosome
GO:0000228,Solyc01g086690,Cellular Component:nuclear chromosome
GO:0000228,Solyc11g013400,Cellular Component:nuclear chromosome
GO:0000228,Solyc11g013410,Cellular Component:nuclear chromosome
GO:0000228,Solyc11g008740,Cellular Component:nuclear chromosome
GO:0000228,Solyc02g093930,Cellular Component:nuclear chromosome
GO:0000228,Solyc06g074880,Cellular Component:nuclear chromosome
GO:0000228,Solyc02g086540,Cellular Component:nuclear chromosome
GO:0000275,Solyc04g007550,"Cellular Component:mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)"
GO:0000275,Solyc06g063220,"Cellular Component:mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)"
GO:0000275,Solyc02g091130,"Cellular Component:mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)"
GO:0000275,Solyc12g055760,"Cellular Component:mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)"
GO:0000275,Solyc05g008460,"Cellular Component:mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)"
GO:0000276,Solyc11g072450,"Cellular Component:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
GO:0000276,Solyc06g005020,"Cellular Component:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
GO:0000276,Solyc07g026770,"Cellular Component:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
GO:0000276,Solyc01g110540,"Cellular Component:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
GO:0000276,Solyc12g008730,"Cellular Component:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
GO:0000276,Solyc08g065470,"Cellular Component:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
GO:0000439,Solyc10g005900,Cellular Component:transcription factor TFIIH core complex
GO:0000439,Solyc08g079610,Cellular Component:transcription factor TFIIH core complex
GO:0000439,Solyc04g054700,Cellular Component:transcription factor TFIIH core complex
GO:0000439,Solyc06g071450,Cellular Component:transcription factor TFIIH core complex
GO:0000439,Solyc02g078440,Cellular Component:transcription factor TFIIH core complex
GO:0000445,Solyc01g008990,Cellular Component:THO complex part of transcription export complex
GO:0000502,Solyc01g111700,Cellular Component:proteasome complex
GO:0000502,Solyc01g111710,Cellular Component:proteasome complex
GO:0000775,Solyc10g019040,"Cellular Component:chromosome, centromeric region"
GO:0000775,Solyc11g008090,"Cellular Component:chromosome, centromeric region"
GO:0000775,Solyc05g043340,"Cellular Component:chromosome, centromeric region"
GO:0000775,Solyc11g066350,"Cellular Component:chromosome, centromeric region"
GO:0000775,Solyc03g114520,"Cellular Component:chromosome, centromeric region"
GO:0000775,Solyc05g043350,"Cellular Component:chromosome, centromeric region"
GO:0000776,Solyc08g077520,Cellular Component:kinetochore
GO:0000776,Solyc03g120340,Cellular Component:kinetochore
GO:0000786,Solyc06g075800,Cellular Component:nucleosome
GO:0000786,Solyc11g013580,Cellular Component:nucleosome
GO:0000786,Solyc10g008910,Cellular Component:nucleosome
GO:0000786,Solyc04g007890,Cellular Component:nucleosome
GO:0000786,Solyc03g071620,Cellular Component:nucleosome
GO:0000786,Solyc05g051290,Cellular Component:nucleosome
GO:0000786,Solyc02g084240,Cellular Component:nucleosome
GO:0000786,Solyc03g121840,Cellular Component:nucleosome
GO:0000786,Solyc01g074000,Cellular Component:nucleosome
GO:0000786,Solyc04g007720,Cellular Component:nucleosome
GO:0000786,Solyc04g074580,Cellular Component:nucleosome
GO:0000786,Solyc04g081150,Cellular Component:nucleosome
GO:0000786,Solyc11g013630,Cellular Component:nucleosome
GO:0000786,Solyc11g066430,Cellular Component:nucleosome
GO:0000786,Solyc05g051500,Cellular Component:nucleosome
GO:0000786,Solyc01g080600,Cellular Component:nucleosome
GO:0000786,Solyc11g011160,Cellular Component:nucleosome
GO:0000786,Solyc02g077480,Cellular Component:nucleosome
GO:0000786,Solyc06g005390,Cellular Component:nucleosome
GO:0000786,Solyc03g119130,Cellular Component:nucleosome
GO:0000786,Solyc01g086760,Cellular Component:nucleosome
GO:0000786,Solyc06g074750,Cellular Component:nucleosome
GO:0000786,Solyc01g086800,Cellular Component:nucleosome
GO:0000786,Solyc09g066100,Cellular Component:nucleosome
GO:0000786,Solyc01g095650,Cellular Component:nucleosome
GO:0000786,Solyc07g040920,Cellular Component:nucleosome
