GO_term,locusName,fx
GO:0000014,Solyc01g086930,Molecular Function:single-stranded DNA endodeoxyribonuclease activity
GO:0000049,Solyc07g008950,Molecular Function:tRNA binding
GO:0000049,Solyc10g007060,Molecular Function:tRNA binding
GO:0000049,Solyc02g090860,Molecular Function:tRNA binding
GO:0000049,Solyc05g056260,Molecular Function:tRNA binding
GO:0000049,Solyc08g015960,Molecular Function:tRNA binding
GO:0000049,Solyc06g048610,Molecular Function:tRNA binding
GO:0000062,Solyc03g082910,Molecular Function:fatty-acyl-CoA binding
GO:0000062,Solyc01g099350,Molecular Function:fatty-acyl-CoA binding
GO:0000062,Solyc08g075690,Molecular Function:fatty-acyl-CoA binding
GO:0000062,Solyc04g078090,Molecular Function:fatty-acyl-CoA binding
GO:0000155,Solyc01g059870,Molecular Function:phosphorelay sensor kinase activity
GO:0000155,Solyc04g008110,Molecular Function:phosphorelay sensor kinase activity
GO:0000155,Solyc05g053410,Molecular Function:phosphorelay sensor kinase activity
GO:0000155,Solyc09g089610,Molecular Function:phosphorelay sensor kinase activity
GO:0000155,Solyc00g055960,Molecular Function:phosphorelay sensor kinase activity
GO:0000155,Solyc05g015610,Molecular Function:phosphorelay sensor kinase activity
GO:0000155,Solyc02g083680,Molecular Function:phosphorelay sensor kinase activity
GO:0000155,Solyc08g068960,Molecular Function:phosphorelay sensor kinase activity
GO:0000155,Solyc07g047770,Molecular Function:phosphorelay sensor kinase activity
GO:0000155,Solyc10g044670,Molecular Function:phosphorelay sensor kinase activity
GO:0000155,Solyc02g071260,Molecular Function:phosphorelay sensor kinase activity
GO:0000155,Solyc12g011330,Molecular Function:phosphorelay sensor kinase activity
GO:0000155,Solyc09g075440,Molecular Function:phosphorelay sensor kinase activity
GO:0000155,Solyc07g056580,Molecular Function:phosphorelay sensor kinase activity
GO:0000155,Solyc06g053710,Molecular Function:phosphorelay sensor kinase activity
GO:0000166,Solyc03g019940,Molecular Function:nucleotide binding
GO:0000166,Solyc03g123890,Molecular Function:nucleotide binding
GO:0000166,Solyc07g005040,Molecular Function:nucleotide binding
GO:0000166,Solyc01g111990,Molecular Function:nucleotide binding
GO:0000166,Solyc11g072880,Molecular Function:nucleotide binding
GO:0000166,Solyc03g117330,Molecular Function:nucleotide binding
GO:0000166,Solyc12g095850,Molecular Function:nucleotide binding
GO:0000166,Solyc04g077870,Molecular Function:nucleotide binding
GO:0000166,Solyc07g048080,Molecular Function:nucleotide binding
GO:0000166,Solyc02g069420,Molecular Function:nucleotide binding
GO:0000166,Solyc12g044690,Molecular Function:nucleotide binding
