"gene","A1","A10","A13","A22","A25","A34"
"Solyc01g006400",73,3,17,8,10,6
"Solyc01g006880",2630,2560,5606,4872,3338,2192
"Solyc01g007070",127,68,365,407,182,67
"Solyc01g007350",913,1229,398,663,800,688
"Solyc01g007570",0,0,0,0,0,0
"Solyc01g010000",403,400,684,577,267,248
"Solyc01g015000",45,35,177,83,43,33
"Solyc01g016410",69,31,124,77,48,42
"Solyc01g057760",2169,1653,5608,3640,2322,1725
"Solyc01g065490",432,209,675,503,355,213
"Solyc01g066940",86,50,72,64,55,32
"Solyc01g067040",207,100,325,205,197,108
"Solyc01g067290",67,34,130,54,58,32
"Solyc01g067720",268,517,367,768,399,531
"Solyc01g067930",342,285,631,458,463,525
"Solyc01g068060",281,230,328,411,206,436
"Solyc01g068600",41,48,115,67,64,41
"Solyc01g073640",163,9,102,55,24,23
"Solyc01g073680",880,2288,733,5334,352,2165
"Solyc01g080020",178,151,174,193,425,174
"Solyc01g088530",157,109,421,357,150,106
"Solyc01g088590",30,39,8,10,60,45
"Solyc01g090180",5,2,17,7,4,0
"Solyc01g094010",733,216,1147,1059,339,237
"Solyc01g094700",3106,1432,5559,5177,2842,3014
"Solyc01g096230",484,294,944,854,662,486
"Solyc01g096450",137,33,174,100,62,41
"Solyc01g101240",369,496,483,1098,856,922
"Solyc01g103140",189,314,457,500,410,364
"Solyc01g103590",22,73,5,28,71,69
"Solyc01g103850",618,438,1299,1050,683,485
"Solyc01g104910",44,36,76,99,68,57
"Solyc01g104950",45,15,12,22,29,37
"Solyc01g105030",15,8,21,27,6,5
"Solyc01g105050",11,2,10,13,3,0
"Solyc01g107210",259,172,593,403,243,227
"Solyc01g108780",15,10,26,34,23,15
"Solyc01g109030",154,33,199,97,235,35
"Solyc01g109830",2508,2348,5036,4259,2724,1897
"Solyc01g109880",1248,830,677,1592,1808,841
"Solyc01g111350",36,12,15,35,9,12
"Solyc01g111620",178,129,348,235,204,130
"Solyc02g032120",1122,909,1998,2199,1263,1165
"Solyc02g038760",1509,880,5201,3062,1236,762
"Solyc02g063150",38,1,29,43,5,4
"Solyc02g065780",14,0,0,0,0,1
"Solyc02g068230",724,839,1005,788,565,680
"Solyc02g068560",2809,2493,7063,4939,3123,1413
"Solyc02g069490",179,27,328,142,71,33
"Solyc02g069800",244,35,575,454,112,46
"Solyc02g070940",67,1,30,26,8,6
"Solyc02g070990",8,0,10,5,1,0
"Solyc02g071270",1728,1219,5417,2841,1557,589
"Solyc02g077780",615,496,1326,1093,798,521
"Solyc02g080260",3792,2051,6337,4066,2719,2356
"Solyc02g080330",6407,3320,9527,18172,5697,4520
"Solyc02g080530",596,1667,669,5406,758,1737
"Solyc02g080570",1117,876,2509,1509,1255,844
"Solyc02g082900",13,9,27,43,13,48
"Solyc02g084440",27,16,19,70,14,14
"Solyc02g084990",22,21,6,72,6,90
