"gene","A5","A17","A29"
"Solyc01g006400",5,10,13
"Solyc01g006880",2234,3378,2717
"Solyc01g007070",117,214,122
"Solyc01g007350",645,120,812
"Solyc01g007570",0,0,0
"Solyc01g010000",212,124,255
"Solyc01g015000",22,44,13
"Solyc01g016410",20,31,28
"Solyc01g057760",1583,2254,1637
"Solyc01g065490",125,281,220
"Solyc01g066940",29,35,40
"Solyc01g067040",137,177,137
"Solyc01g067290",23,18,21
"Solyc01g067720",122,166,248
"Solyc01g067930",202,331,451
"Solyc01g068060",130,155,268
"Solyc01g068600",23,35,30
"Solyc01g073640",9,15,27
"Solyc01g073680",969,365,1254
"Solyc01g080020",125,114,314
"Solyc01g088530",66,115,127
"Solyc01g088590",27,6,42
"Solyc01g090180",2,3,3
"Solyc01g094010",215,359,319
"Solyc01g094700",1432,2922,2775
"Solyc01g096230",187,424,388
"Solyc01g096450",63,121,72
"Solyc01g101240",147,427,504
"Solyc01g103140",396,377,415
"Solyc01g103590",10,7,23
"Solyc01g103850",329,452,441
"Solyc01g104910",30,62,88
"Solyc01g104950",40,5,20
"Solyc01g105030",3,9,9
"Solyc01g105050",4,2,15
"Solyc01g107210",119,141,177
"Solyc01g108780",7,13,14
"Solyc01g109030",58,104,135
"Solyc01g109830",1996,1744,2225
"Solyc01g109880",452,388,1148
"Solyc01g111350",9,13,7
"Solyc01g111620",84,138,135
"Solyc02g032120",1062,1665,1275
"Solyc02g038760",867,1233,962
"Solyc02g063150",3,10,16
"Solyc02g065780",0,0,0
"Solyc02g068230",471,271,592
"Solyc02g068560",1280,1717,1212
"Solyc02g069490",43,26,46
"Solyc02g069800",122,254,187
"Solyc02g070940",9,17,19
"Solyc02g070990",2,4,3
"Solyc02g071270",609,648,559
"Solyc02g077780",401,560,561
"Solyc02g080260",2950,2761,2565
"Solyc02g080330",2117,4166,3853
"Solyc02g080530",153,418,515
"Solyc02g080570",445,651,619
"Solyc02g082900",11,5,20
"Solyc02g084440",13,28,21
"Solyc02g084990",9,9,14
"Solyc02g087970",21,7,20
"Solyc02g088510",68,99,88
"Solyc02g089630",212,447,647
"Solyc02g090030",4,16,10
"Solyc02g090890",1,3,6
"Solyc02g091560",103,119,114
"Solyc02g091840",23,31,28
"Solyc02g091890",124,379,162
"Solyc02g093490",81,179,158
"Solyc03g006050",5,1,11
"Solyc03g006350",325,403,342
"Solyc03g007270",201,184,249
"Solyc03g007440",144,148,291
"Solyc03g034230",35,27,47
"Solyc03g078630",1,2,1
"Solyc03g096840",30,51,69
"Solyc03g098590",81,46,139
"Solyc03g098790",0,0,0
"Solyc03g111410",498,669,563
"Solyc03g111550",3395,4812,5659
"Solyc03g111640",1014,888,1086
"Solyc03g112760",25,38,47
"Solyc03g113390",139,173,263
"Solyc03g115080",93,110,222
"Solyc03g115900",7,18,13
"Solyc03g116880",197,201,243
"Solyc03g117280",52,90,122
"Solyc03g117660",758,796,698
"Solyc03g120910",32,22,40
"Solyc03g121270",233,234,510
"Solyc03g121600",635,1890,1277
"Solyc03g123440",790,1154,739
"Solyc04g007130",87,186,327
"Solyc04g007520",177,83,206
"Solyc04g009030",4,10,6
"Solyc04g011580",376,418,431
"Solyc04g014250",435,635,642
"Solyc04g016220",0,3,2
"Solyc04g040180",11,17,62
"Solyc04g054410",578,740,556
"Solyc04g054980",1278,1975,2341
"Solyc04g054990",22,17,24
"Solyc04g058200",74,103,133
"Solyc04g063230",307,887,555
"Solyc04g063380",257,318,352
"Solyc04g072860",346,398,288
"Solyc04g074080",274,221,875
"Solyc04g074640",12,10,7
"Solyc04g074700",1,0,3
"Solyc04g074770",62,17,132
"Solyc04g076010",109,102,243
"Solyc04g076990",4,4,8
"Solyc04g077780",1,0,2
"Solyc04g078540",258,864,628
"Solyc04g081100",1649,1628,1388
"Solyc04g082510",336,593,485
"Solyc04g082630",20,14,26
"Solyc04g082700",308,314,356
"Solyc05g005080",1,38,44
"Solyc05g008390",92,115,135
"Solyc05g009520",42,175,230
"Solyc05g011960",61,59,140
"Solyc05g012580",0,0,0
"Solyc05g013510",0,1,9
"Solyc05g014640",184,313,208
"Solyc05g015420",68,43,69
"Solyc05g045670",1,0,2
"Solyc05g051040",256,447,392
"Solyc05g053130",561,658,727
"Solyc05g054210",13,13,25
"Solyc06g005250",126,110,146
"Solyc06g005500",127,182,232
"Solyc06g005710",8,23,18
"Solyc06g009400",201,259,368
"Solyc06g053230",132,107,136
"Solyc06g053750",844,1262,1202
"Solyc06g062530",502,512,624
"Solyc06g063370",22,39,31
"Solyc06g065100",196,379,412
"Solyc06g065710",3391,3538,3963
"Solyc06g069500",1480,1690,1543
"Solyc06g069730",1,0,2
"Solyc06g071490",1243,1514,1218
"Solyc06g071500",58,58,51
"Solyc06g072840",5,0,5
"Solyc06g073670",667,885,779
"Solyc06g073970",103,85,93
"Solyc06g074200",3,4,13
"Solyc06g074820",35,85,50
"Solyc06g076480",13,10,23
"Solyc06g082950",8,7,11
"Solyc06g083390",14,13,16
"Solyc06g083580",119,128,130
"Solyc06g083680",10,9,14
"Solyc07g005760",67,130,144
"Solyc07g006380",11,6,42
"Solyc07g006560",5,0,15
"Solyc07g006970",528,656,923
"Solyc07g021750",208,278,330
"Solyc07g042550",66,253,181
"Solyc07g043390",42,18,48
"Solyc07g043460",202,79,136
"Solyc07g043480",7,7,8
"Solyc07g043500",5,7,11
"Solyc07g047850",27,27,46
"Solyc07g053050",5,1,11
"Solyc07g055920",22,26,40
"Solyc07g061780",513,600,491
"Solyc07g061790",18,18,42
"Solyc07g062500",154,369,495
"Solyc07g062520",36,37,60
"Solyc07g063420",169,151,382
"Solyc07g064940",26,25,67
"Solyc07g065090",21,9,29
"Solyc07g065110",23,20,16
"Solyc07g065500",11,4,6
"Solyc07g065660",26,58,55
"Solyc08g006820",1510,1978,1972
"Solyc08g007770",40,48,50
"Solyc08g008610",244,239,423
"Solyc08g016080",135,205,156
"Solyc08g016160",35,50,45
"Solyc08g060810",416,798,1002
"Solyc08g062490",0,0,0
"Solyc08g065940",78,95,89
"Solyc08g067030",35,42,43
"Solyc08g067320",4,4,5
"Solyc08g074480",4,0,4
"Solyc08g075080",285,309,377
"Solyc08g076160",33,70,29
"Solyc08g076220",4,4,8
"Solyc08g076350",180,269,385
"Solyc08g076690",150,184,190
"Solyc08g078670",7,13,1
"Solyc08g080580",251,294,272
"Solyc08g081220",184,394,336
"Solyc09g007290",282,389,493
"Solyc09g007900",121,135,132
"Solyc09g009510",57,109,116
"Solyc09g010640",73,128,84
"Solyc09g011580",1,0,0
"Solyc09g011810",1,0,2
"Solyc09g014160",296,294,277
"Solyc09g014520",42,117,78
"Solyc09g064280",137,160,203
"Solyc09g064500",12,28,16
"Solyc09g065910",8,7,21
"Solyc09g066460",608,543,781
"Solyc09g066480",549,841,646
"Solyc09g072670",337,369,621
"Solyc09g074510",556,861,831
"Solyc09g075140",103,107,195
"Solyc09g075810",116,169,307
"Solyc09g075850",456,430,641
"Solyc09g090570",1,0,1
"Solyc09g091960",39,49,18
"Solyc10g006130",43,87,76
"Solyc10g006230",9,19,7
"Solyc10g007600",1,0,4
"Solyc10g007690",6,8,27
"Solyc10g054780",127,295,242
"Solyc10g075160",0,0,0
"Solyc10g077120",17,44,24
"Solyc10g081980",6,11,47
"Solyc10g084440",29,17,23
"Solyc10g085740",10,12,9
"Solyc10g085750",6302,7628,6690
"Solyc11g010850",398,343,382
"Solyc11g011850",51,105,83
"Solyc11g012620",501,569,642
"Solyc11g013310",600,578,1480
"Solyc11g022590",0,0,0
"Solyc11g045270",44,44,42
"Solyc11g066040",68,61,64
"Solyc11g067260",135,196,167
"Solyc11g068950",12,12,6
"Solyc11g069430",10,7,17
"Solyc11g072030",93,162,312
"Solyc11g072050",160,201,204
"Solyc12g005270",1093,1495,1557
"Solyc12g006460",8,4,22
"Solyc12g006620",395,587,448
"Solyc12g009600",0,4,1
"Solyc12g009680",70,68,179
"Solyc12g009930",7,8,15
"Solyc12g011340",112,142,148
"Solyc12g013910",118,190,128
"Solyc12g014170",422,455,392
"Solyc12g017460",3,16,12
"Solyc12g019550",2,6,6
"Solyc12g042920",174,277,298
"Solyc12g042930",1,0,0
"Solyc12g042990",379,389,384
"Solyc12g044280",0,2,1
"Solyc12g044330",3,75,58
"Solyc12g044630",6,8,9
"Solyc12g049520",47,39,53
"Solyc12g096090",67,36,79
"Solyc12g096670",8,4,9
"Solyc12g098450",512,402,636
"Solyc12g098600",0,0,0
"Solyc12g099500",2,5,5
