"gene","A3","A11","A15","A23","A27","A35"
"Solyc01g006400",4,33,5,76,7,16
"Solyc01g006880",3292,7042,2331,6920,8431,7817
"Solyc01g007070",127,377,76,828,198,579
"Solyc01g007350",2474,1081,617,740,1229,741
"Solyc01g007570",0,0,0,0,0,0
"Solyc01g010000",672,335,299,137,376,648
"Solyc01g015000",172,64,77,112,122,97
"Solyc01g016410",104,54,32,120,85,78
"Solyc01g057760",2572,3343,1756,4753,4611,3285
"Solyc01g065490",237,167,122,125,276,316
"Solyc01g066940",107,55,61,35,77,67
"Solyc01g067040",193,147,122,190,273,101
"Solyc01g067290",33,25,15,28,32,39
"Solyc01g067720",364,477,263,391,449,337
"Solyc01g067930",407,346,197,406,395,228
"Solyc01g068060",174,316,190,425,422,344
"Solyc01g068600",90,61,43,73,120,87
"Solyc01g073640",64,217,26,575,180,47
"Solyc01g073680",1314,60,2081,1,3608,132
"Solyc01g080020",250,302,160,357,437,364
"Solyc01g088530",182,213,106,150,298,378
"Solyc01g088590",2,2,1,0,11,0
"Solyc01g090180",15,11,6,0,18,5
"Solyc01g094010",341,696,204,544,375,710
"Solyc01g094700",1652,4729,1215,6346,2357,3211
"Solyc01g096230",252,1377,163,2080,490,793
"Solyc01g096450",54,231,42,246,158,292
"Solyc01g101240",244,500,345,802,1163,266
"Solyc01g103140",294,637,233,729,1001,566
"Solyc01g103590",30,25,17,10,76,36
"Solyc01g103850",500,659,337,780,810,691
"Solyc01g104910",96,106,86,222,669,92
"Solyc01g104950",17,134,11,224,108,110
"Solyc01g105030",4,27,2,10,2,19
"Solyc01g105050",2,7,0,0,1,3
"Solyc01g107210",315,258,197,215,377,206
"Solyc01g108780",6,15,8,17,12,25
"Solyc01g109030",5,0,2,0,17,0
"Solyc01g109830",2925,2856,1681,2337,2611,2928
"Solyc01g109880",1549,3161,1392,1851,3363,1446
"Solyc01g111350",16,82,8,15,14,44
"Solyc01g111620",172,187,121,452,313,225
"Solyc02g032120",849,1905,706,3089,2509,2003
"Solyc02g038760",2758,1695,1021,2342,1957,2623
"Solyc02g063150",3,54,1,29,1,11
"Solyc02g065780",1,1,0,0,1,1
"Solyc02g068230",752,581,381,438,732,766
"Solyc02g068560",4142,3342,2507,3127,4435,4991
"Solyc02g069490",70,383,42,174,66,114
"Solyc02g069800",491,2049,264,3948,769,1536
"Solyc02g070940",5,88,5,11,21,26
"Solyc02g070990",1,19,1,0,3,3
"Solyc02g071270",4406,1294,2146,1145,2061,3353
"Solyc02g077780",675,763,451,898,934,953
"Solyc02g080260",3408,5380,2381,5303,5859,5531
"Solyc02g080330",3857,19661,2390,20186,6736,12214
"Solyc02g080530",208,636,398,756,1592,185
"Solyc02g080570",1779,1439,1006,1871,2320,1383
"Solyc02g082900",27,145,21,416,126,43
"Solyc02g084440",4,98,4,43,32,39
"Solyc02g084990",44,102,26,17,51,43
"Solyc02g087970",2,33,0,33,6,15
"Solyc02g088510",228,300,112,467,355,321
"Solyc02g089630",247,699,270,232,422,608
"Solyc02g090030",2,95,10,50,21,42
"Solyc02g090890",30,8,11,6,13,2
"Solyc02g091560",171,195,140,209,258,177
"Solyc02g091840",155,234,177,246,715,217
"Solyc02g091890",376,710,381,1020,913,338
"Solyc02g093490",335,362,266,580,442,294
"Solyc03g006050",36,11,15,8,59,20
"Solyc03g006350",734,1004,499,950,1139,1210
"Solyc03g007270",855,352,251,360,649,402
"Solyc03g007440",448,374,310,401,644,395
"Solyc03g034230",28,67,16,26,90,108
"Solyc03g078630",32,0,10,0,20,7
"Solyc03g096840",132,84,59,56,214,55
"Solyc03g098590",211,155,83,202,189,111
"Solyc03g098790",3,1,1,0,1,2
"Solyc03g111410",957,977,604,957,1410,1081
"Solyc03g111550",1297,497,707,343,370,424
"Solyc03g111640",3298,1975,1520,2537,3138,3033
"Solyc03g112760",31,32,27,92,140,20
"Solyc03g113390",477,677,208,789,560,400
"Solyc03g115080",313,200,176,247,300,245
"Solyc03g115900",3,39,2,11,9,16
"Solyc03g116880",599,478,302,647,760,670
"Solyc03g117280",147,196,165,415,444,153
"Solyc03g117660",1400,1109,761,1194,1241,1659
"Solyc03g120910",1725,97,547,171,403,153
"Solyc03g121270",388,534,361,460,625,283
"Solyc03g121600",1276,1870,1026,4644,2665,1356
"Solyc03g123440",981,2548,791,2589,2388,2293
"Solyc04g007130",63,145,71,384,413,105
"Solyc04g007520",212,431,168,325,579,319
"Solyc04g009030",3,38,3,0,8,13
"Solyc04g011580",798,877,667,1186,1753,780
"Solyc04g014250",1076,1072,714,1687,1484,1112
"Solyc04g016220",0,6,0,26,1,2
"Solyc04g040180",7,1,4,0,6,0
"Solyc04g054410",1629,872,917,1126,1353,1537
"Solyc04g054980",600,2211,836,2635,2719,1699
"Solyc04g054990",16,206,5,33,15,50
"Solyc04g058200",189,143,131,88,351,149
"Solyc04g063230",584,779,739,1955,2109,381
"Solyc04g063380",1435,711,645,863,1004,1257
"Solyc04g072860",1343,1113,767,777,1160,1758
"Solyc04g074080",175,1202,188,716,319,669
"Solyc04g074640",7,13,12,0,43,6
"Solyc04g074700",3,14,3,32,7,7
"Solyc04g074770",67,57,77,46,203,31
"Solyc04g076010",128,78,82,30,61,60
"Solyc04g076990",17,227,7,182,20,66
"Solyc04g077780",0,6,1,8,0,8
"Solyc04g078540",270,1178,236,1715,944,1112
"Solyc04g081100",5938,3269,2421,3010,5025,4898
"Solyc04g082510",1633,1324,1296,1661,2381,1226
"Solyc04g082630",8,76,5,65,32,18
"Solyc04g082700",1454,555,710,672,804,1033
"Solyc05g005080",18,10,17,49,26,9
"Solyc05g008390",313,249,165,281,354,430
"Solyc05g009520",198,391,120,474,339,199
"Solyc05g011960",69,120,23,93,61,60
"Solyc05g012580",0,0,0,0,0,0
"Solyc05g013510",13,3,5,0,3,4
"Solyc05g014640",559,603,334,751,955,723
"Solyc05g015420",130,161,50,86,70,166
"Solyc05g045670",2,9,1,7,6,16
"Solyc05g051040",513,568,226,915,636,679
"Solyc05g053130",1338,1804,845,2190,2440,2073
"Solyc05g054210",4,12,1,75,2,20
"Solyc06g005250",164,207,112,247,274,216
"Solyc06g005500",86,359,83,512,350,288
"Solyc06g005710",11,44,3,8,35,22
"Solyc06g009400",839,473,448,418,601,488
"Solyc06g053230",196,279,137,215,340,324
"Solyc06g053750",1586,2545,1119,2767,3870,2400
"Solyc06g062530",1755,867,824,1061,1287,1055
"Solyc06g063370",61,56,50,21,71,89
"Solyc06g065100",360,1075,275,1141,735,851
"Solyc06g065710",5269,7172,3248,9359,6894,6945
"Solyc06g069500",2352,4254,1441,3642,3894,4272
"Solyc06g069730",3,14,0,7,5,3
"Solyc06g071490",2679,2528,1588,2897,2635,2935
"Solyc06g071500",111,246,41,297,184,313
"Solyc06g072840",24,16,21,1,9,8
"Solyc06g073670",1147,1340,715,1409,2100,1470
"Solyc06g073970",637,253,361,102,512,394
"Solyc06g074200",2,15,2,16,3,5
"Solyc06g074820",32,98,24,282,52,115
"Solyc06g076480",69,61,40,48,130,19
"Solyc06g082950",4,23,2,5,15,19
"Solyc06g083390",36,40,32,44,60,26
"Solyc06g083580",118,135,62,102,260,159
"Solyc06g083680",16,24,9,0,12,37
"Solyc07g005760",18,14,4,36,1,6
"Solyc07g006380",118,13,81,15,195,19
"Solyc07g006560",2,40,0,0,0,26
"Solyc07g006970",578,1466,414,1508,918,958
"Solyc07g021750",164,887,88,862,269,741
"Solyc07g042550",349,182,267,211,692,322
"Solyc07g043390",15,307,15,45,24,66
"Solyc07g043460",131,390,75,211,217,361
"Solyc07g043480",3,63,6,14,10,21
"Solyc07g043500",19,40,9,13,34,23
"Solyc07g047850",54,134,59,58,156,159
"Solyc07g053050",2,6,3,3,12,5
"Solyc07g055920",14,43,4,16,32,36
"Solyc07g061780",1640,1265,967,1251,2488,1992
"Solyc07g061790",6,30,7,47,17,9
"Solyc07g062500",91,138,62,100,87,70
"Solyc07g062520",35,55,22,20,41,69
"Solyc07g063420",310,649,232,704,765,352
"Solyc07g064940",100,93,82,86,221,58
"Solyc07g065090",28,116,34,141,62,48
