"gene","A9","A21","A33"
"Solyc01g006400",14,7,14
"Solyc01g006880",2927,4698,7837
"Solyc01g007070",95,110,99
"Solyc01g007350",1764,882,2864
"Solyc01g007570",0,0,0
"Solyc01g010000",127,138,168
"Solyc01g015000",44,62,125
"Solyc01g016410",42,77,123
"Solyc01g057760",1686,2913,3593
"Solyc01g065490",220,270,547
"Solyc01g066940",65,74,221
"Solyc01g067040",112,105,182
"Solyc01g067290",30,21,16
"Solyc01g067720",305,299,1096
"Solyc01g067930",314,248,940
"Solyc01g068060",304,391,875
"Solyc01g068600",64,88,95
"Solyc01g073640",89,164,75
"Solyc01g073680",1529,1179,3493
"Solyc01g080020",472,181,889
"Solyc01g088530",127,227,382
"Solyc01g088590",19,7,4
"Solyc01g090180",14,8,10
"Solyc01g094010",489,489,5007
"Solyc01g094700",2216,3472,11653
"Solyc01g096230",484,543,2438
"Solyc01g096450",52,50,42
"Solyc01g101240",779,968,875
"Solyc01g103140",363,484,1101
"Solyc01g103590",325,74,292
"Solyc01g103850",609,628,1218
"Solyc01g104910",247,437,327
"Solyc01g104950",73,83,71
"Solyc01g105030",1,6,3
"Solyc01g105050",3,0,4
"Solyc01g107210",164,313,473
"Solyc01g108780",3,5,5
"Solyc01g109030",10,6,32
"Solyc01g109830",1051,1038,1862
"Solyc01g109880",2628,1497,8829
"Solyc01g111350",16,16,37
"Solyc01g111620",229,332,521
"Solyc02g032120",1098,1606,3247
"Solyc02g038760",920,1699,1830
"Solyc02g063150",6,6,14
"Solyc02g065780",0,1,0
"Solyc02g068230",308,263,464
"Solyc02g068560",2167,2905,4460
"Solyc02g069490",29,17,59
"Solyc02g069800",763,1626,7595
"Solyc02g070940",11,18,40
"Solyc02g070990",1,0,0
"Solyc02g071270",1921,2860,3326
"Solyc02g077780",685,884,1644
"Solyc02g080260",2530,4134,6053
"Solyc02g080330",4225,3455,31059
"Solyc02g080530",798,964,792
"Solyc02g080570",1270,1679,3002
"Solyc02g082900",183,180,314
"Solyc02g084440",33,36,197
"Solyc02g084990",25,21,31
"Solyc02g087970",3,0,4
"Solyc02g088510",163,259,467
"Solyc02g089630",427,78,1636
"Solyc02g090030",18,22,43
"Solyc02g090890",19,12,22
"Solyc02g091560",91,167,159
"Solyc02g091840",382,1153,979
"Solyc02g091890",611,788,1566
"Solyc02g093490",347,575,1058
"Solyc03g006050",59,65,84
"Solyc03g006350",524,497,935
"Solyc03g007270",339,472,1093
"Solyc03g007440",361,311,673
"Solyc03g034230",19,32,177
"Solyc03g078630",22,9,59
