"gene","A5","A9","A17","A21","A29","A33"
"Solyc01g006400",5,14,10,7,13,14
"Solyc01g006880",2234,2927,3378,4698,2717,7837
"Solyc01g007070",117,95,214,110,122,99
"Solyc01g007350",645,1764,120,882,812,2864
"Solyc01g007570",0,0,0,0,0,0
"Solyc01g010000",212,127,124,138,255,168
"Solyc01g015000",22,44,44,62,13,125
"Solyc01g016410",20,42,31,77,28,123
"Solyc01g057760",1583,1686,2254,2913,1637,3593
"Solyc01g065490",125,220,281,270,220,547
"Solyc01g066940",29,65,35,74,40,221
"Solyc01g067040",137,112,177,105,137,182
"Solyc01g067290",23,30,18,21,21,16
"Solyc01g067720",122,305,166,299,248,1096
"Solyc01g067930",202,314,331,248,451,940
"Solyc01g068060",130,304,155,391,268,875
"Solyc01g068600",23,64,35,88,30,95
"Solyc01g073640",9,89,15,164,27,75
"Solyc01g073680",969,1529,365,1179,1254,3493
"Solyc01g080020",125,472,114,181,314,889
"Solyc01g088530",66,127,115,227,127,382
"Solyc01g088590",27,19,6,7,42,4
"Solyc01g090180",2,14,3,8,3,10
"Solyc01g094010",215,489,359,489,319,5007
"Solyc01g094700",1432,2216,2922,3472,2775,11653
"Solyc01g096230",187,484,424,543,388,2438
"Solyc01g096450",63,52,121,50,72,42
"Solyc01g101240",147,779,427,968,504,875
"Solyc01g103140",396,363,377,484,415,1101
"Solyc01g103590",10,325,7,74,23,292
"Solyc01g103850",329,609,452,628,441,1218
"Solyc01g104910",30,247,62,437,88,327
"Solyc01g104950",40,73,5,83,20,71
"Solyc01g105030",3,1,9,6,9,3
"Solyc01g105050",4,3,2,0,15,4
"Solyc01g107210",119,164,141,313,177,473
"Solyc01g108780",7,3,13,5,14,5
"Solyc01g109030",58,10,104,6,135,32
"Solyc01g109830",1996,1051,1744,1038,2225,1862
"Solyc01g109880",452,2628,388,1497,1148,8829
"Solyc01g111350",9,16,13,16,7,37
"Solyc01g111620",84,229,138,332,135,521
"Solyc02g032120",1062,1098,1665,1606,1275,3247
"Solyc02g038760",867,920,1233,1699,962,1830
"Solyc02g063150",3,6,10,6,16,14
"Solyc02g065780",0,0,0,1,0,0
"Solyc02g068230",471,308,271,263,592,464
"Solyc02g068560",1280,2167,1717,2905,1212,4460
"Solyc02g069490",43,29,26,17,46,59
"Solyc02g069800",122,763,254,1626,187,7595
"Solyc02g070940",9,11,17,18,19,40
"Solyc02g070990",2,1,4,0,3,0
"Solyc02g071270",609,1921,648,2860,559,3326
"Solyc02g077780",401,685,560,884,561,1644
"Solyc02g080260",2950,2530,2761,4134,2565,6053
"Solyc02g080330",2117,4225,4166,3455,3853,31059
"Solyc02g080530",153,798,418,964,515,792
"Solyc02g080570",445,1270,651,1679,619,3002
"Solyc02g082900",11,183,5,180,20,314
"Solyc02g084440",13,33,28,36,21,197
"Solyc02g084990",9,25,9,21,14,31
"Solyc02g087970",21,3,7,0,20,4
"Solyc02g088510",68,163,99,259,88,467
"Solyc02g089630",212,427,447,78,647,1636
"Solyc02g090030",4,18,16,22,10,43
"Solyc02g090890",1,19,3,12,6,22
"Solyc02g091560",103,91,119,167,114,159
"Solyc02g091840",23,382,31,1153,28,979
"Solyc02g091890",124,611,379,788,162,1566
"Solyc02g093490",81,347,179,575,158,1058
"Solyc03g006050",5,59,1,65,11,84
"Solyc03g006350",325,524,403,497,342,935
"Solyc03g007270",201,339,184,472,249,1093
"Solyc03g007440",144,361,148,311,291,673
"Solyc03g034230",35,19,27,32,47,177
"Solyc03g078630",1,22,2,9,1,59
"Solyc03g096840",30,144,51,133,69,718
"Solyc03g098590",81,95,46,188,139,288
"Solyc03g098790",0,1,0,0,0,0
"Solyc03g111410",498,596,669,858,563,1089
"Solyc03g111550",3395,824,4812,386,5659,25169
"Solyc03g111640",1014,1329,888,2573,1086,2568
"Solyc03g112760",25,46,38,91,47,35
"Solyc03g113390",139,406,173,553,263,1853
"Solyc03g115080",93,234,110,222,222,543
"Solyc03g115900",7,14,18,4,13,27
"Solyc03g116880",197,405,201,623,243,717
"Solyc03g117280",52,308,90,408,122,798
"Solyc03g117660",758,515,796,624,698,908
"Solyc03g120910",32,1075,22,1667,40,1455
"Solyc03g121270",233,578,234,624,510,2540
"Solyc03g121600",635,1549,1890,2215,1277,5138
"Solyc03g123440",790,1072,1154,1159,739,2900
"Solyc04g007130",87,182,186,491,327,589
"Solyc04g007520",177,178,83,215,206,520
"Solyc04g009030",4,6,10,7,6,14
"Solyc04g011580",376,723,418,1133,431,2058
"Solyc04g014250",435,733,635,895,642,1602
"Solyc04g016220",0,1,3,0,2,0
"Solyc04g040180",11,120,17,41,62,391
"Solyc04g054410",578,712,740,819,556,1145
"Solyc04g054980",1278,1443,1975,1897,2341,3919
