"gene","A5","A9","A17","A21","A29","A33"
"Solyc00g005000",0,0,1,1,0,0
"Solyc00g005020",0,0,0,0,0,0
"Solyc00g005040",0,0,0,0,0,0
"Solyc00g005050",266,703,359,695,491,1876
"Solyc00g005060",0,0,0,0,0,0
"Solyc00g005070",0,0,0,3,0,0
"Solyc00g005080",0,0,0,0,0,0
"Solyc00g005090",0,0,0,0,0,0
"Solyc00g005100",1,2,0,0,0,0
"Solyc00g005110",0,0,0,0,0,0
"Solyc00g005120",1,0,0,0,0,0
"Solyc00g005130",0,0,0,0,0,0
"Solyc00g005140",0,0,0,0,1,0
"Solyc00g005150",1,4,0,6,0,8
"Solyc00g005160",0,2,3,1,0,0
"Solyc00g005170",0,0,0,0,0,0
"Solyc00g005180",0,0,0,0,0,0
"Solyc00g005280",0,0,0,0,0,0
"Solyc00g005420",0,0,0,0,0,0
"Solyc00g005430",0,1,0,0,0,0
"Solyc00g005440",1,0,0,3,1,0
"Solyc00g005450",4,2,3,0,1,7
"Solyc00g005460",0,0,0,0,0,0
"Solyc00g005470",0,0,0,0,0,0
"Solyc00g005480",1,0,0,0,0,0
"Solyc00g005490",0,0,0,0,0,0
"Solyc00g005840",18,40,29,55,38,115
"Solyc00g005850",0,0,0,0,0,0
"Solyc00g005860",7,0,2,0,14,4
"Solyc00g005870",45,179,47,257,26,164
"Solyc00g005880",5,17,3,22,6,3
"Solyc00g005890",0,0,0,0,0,0
"Solyc00g005900",0,0,0,0,0,0
"Solyc00g005980",0,0,0,0,0,0
"Solyc00g006010",0,0,0,0,0,0
"Solyc00g006020",0,0,2,0,0,0
"Solyc00g006050",0,0,0,0,0,0
"Solyc00g006090",0,0,0,0,0,0
"Solyc00g006170",0,0,0,0,0,0
"Solyc00g006250",0,0,0,0,0,0
"Solyc00g006470",192,816,849,14085,186,10989
"Solyc00g006480",1,0,0,0,0,0
"Solyc00g006490",898,961,817,1128,1087,2446
"Solyc00g006500",0,0,0,0,0,0
"Solyc00g006510",0,0,0,0,0,0
"Solyc00g006520",0,0,0,0,0,0
"Solyc00g006530",0,0,0,0,0,0
"Solyc00g006540",0,1,0,0,0,0
"Solyc00g006550",0,0,0,0,0,0
"Solyc00g006560",0,0,0,0,0,0
"Solyc00g006570",8,4,3,1,9,13
"Solyc00g006590",56,2,39,1,29,0
"Solyc00g006600",1,0,2,1,2,11
"Solyc00g006630",0,0,0,0,0,0
"Solyc00g006650",0,0,0,0,0,0
"Solyc00g006660",0,0,0,0,0,0
"Solyc00g006670",0,1,0,3,2,5
"Solyc00g006680",1,163,21,19,1,38
"Solyc00g006690",228,5360,3456,1713,505,2801
"Solyc00g006700",0,0,0,0,0,0
"Solyc00g006800",1429,2396,1928,2983,1829,5184
"Solyc00g006810",70,84,54,90,94,353
"Solyc00g006820",236,884,303,1104,349,3763
"Solyc00g006830",3161,2290,3235,2707,3771,4436
"Solyc00g006840",1,4,0,5,1,3
"Solyc00g006850",0,0,0,0,0,0
"Solyc00g006860",2,0,0,0,2,0
"Solyc00g006870",0,0,0,0,0,0
"Solyc00g006880",0,0,1,0,0,0
"Solyc00g006890",0,0,0,0,0,0
"Solyc00g006900",1,0,0,0,2,0
"Solyc00g007000",9,14,2,0,8,18
"Solyc00g007010",457,637,560,722,659,1554
"Solyc00g007020",3,0,0,0,1,1
"Solyc00g007030",235,273,258,234,277,349
"Solyc00g007040",126,87,58,79,153,65
"Solyc00g007050",0,0,0,0,0,0
"Solyc00g007060",59,225,115,297,114,1082
"Solyc00g007070",884,652,426,885,1031,1318
"Solyc00g007080",123,120,162,157,238,238
"Solyc00g007090",232,580,307,787,328,1936
"Solyc00g007100",149,216,104,311,195,601
"Solyc00g007110",496,421,778,765,427,1078
"Solyc00g007120",620,615,885,914,611,1286
"Solyc00g007130",5,9,0,2,11,0
"Solyc00g007140",0,0,0,0,0,0
"Solyc00g007150",52,38,27,74,27,57
"Solyc00g007160",1,0,0,2,1,0
"Solyc00g007170",2,1,2,0,0,0
"Solyc00g007180",254,0,84,4,182,0
"Solyc00g007190",31,25,46,21,30,55
"Solyc00g007200",301,88,215,60,356,141
"Solyc00g007210",0,0,0,0,1,0
"Solyc00g007220",24,195,37,338,35,1105
"Solyc00g007230",1,2,3,3,3,18
"Solyc00g007240",0,0,0,0,0,0
"Solyc00g007250",0,0,1,0,0,0
"Solyc00g007260",290,594,375,612,342,1450
"Solyc00g007270",2073,1984,2105,2166,2939,4836
"Solyc00g007290",0,0,2,0,1,0
"Solyc00g007300",95,60,135,63,102,74
"Solyc00g007310",0,0,0,1,0,0
"Solyc00g007320",53,1,88,0,60,0
"Solyc00g007330",8,1,2,0,12,0
"Solyc00g007340",2,1,1,0,3,0
"Solyc00g007350",7,0,6,0,1,0
"Solyc00g007450",0,0,1,0,0,0
"Solyc00g007550",2,0,0,0,4,5
"Solyc00g007560",40,14,18,2,31,10
"Solyc00g007570",0,0,0,0,0,0
"Solyc00g007580",0,0,0,0,0,0
"Solyc00g007590",0,0,0,0,0,0
"Solyc00g007600",2,1,0,0,0,0
"Solyc00g007610",4,0,1,0,5,0
"Solyc00g007910",0,0,0,0,0,0
"Solyc00g007920",0,0,0,0,0,0
"Solyc00g007930",0,0,0,0,0,0
"Solyc00g007940",0,0,0,0,0,0
"Solyc00g007950",0,0,0,0,0,0
"Solyc00g007960",0,0,0,0,0,0
"Solyc00g007970",0,0,0,0,0,0
"Solyc00g007980",0,0,0,0,0,0
"Solyc00g007990",0,0,0,0,0,0
"Solyc00g008000",0,0,0,0,0,0
"Solyc00g008010",0,0,0,0,0,0
"Solyc00g008020",0,0,0,0,0,0
"Solyc00g008030",0,0,0,0,0,0
"Solyc00g008040",0,0,0,0,0,0
"Solyc00g008050",0,0,0,0,0,0
"Solyc00g008060",0,0,0,0,0,0
"Solyc00g008070",0,0,0,0,0,0
