"gene","A5","A9","A17","A21","A29","A33"
"Solyc00g005000",0,0,0.0449298900435259,0.0373768671674544,0,0
"Solyc00g005020",0,0,0,0,0,0
"Solyc00g005040",0,0,0,0,0,0
"Solyc00g005050",23.0519796512816,54.191548949309,27.7800641707879,44.7395016272408,25.751154086337,62.0916154351274
"Solyc00g005060",0,0,0,0,0,0
"Solyc00g005070",0,0,0,2.34366800424075,0,0
"Solyc00g005080",0,0,0,0,0,0
"Solyc00g005090",0,0,0,0,0,0
"Solyc00g005100",0.127336817364093,0.226534126080074,0,0,0,0
"Solyc00g005110",0,0,0,0,0,0
"Solyc00g005120",0.458001778583753,0,0,0,0,0
"Solyc00g005130",0,0,0,0,0,0
"Solyc00g005140",0,0,0,0,0.100496597495144,0
"Solyc00g005150",0.0745304731553614,0.265181680398197,0,0.332173417923886,0,0.227718020220347
"Solyc00g005160",0,0.374200815673011,0.563454102545847,0.15624453361605,0,0
"Solyc00g005170",0,0,0,0,0,0
"Solyc00g005180",0,0,0,0,0,0
"Solyc00g005280",0,0,0,0,0,0
"Solyc00g005420",0,0,0,0,0,0
"Solyc00g005430",0,0.459246455598696,0,0,0,0
"Solyc00g005440",0.167035942777604,0,0,0.372229624202943,0.101087753950998,0
"Solyc00g005450",1.29073228509967,0.57405806949837,0.864389816405561,0,0.1952831610417,0.862676079442705
"Solyc00g005460",0,0,0,0,0,0
"Solyc00g005470",0,0,0,0,0,0
"Solyc00g005480",0.232755002231088,0,0,0,0,0
"Solyc00g005490",0,0,0,0,0,0
"Solyc00g005840",1.28640096870672,2.54280755616727,1.85060638545889,2.9197541831355,1.64352405333082,3.13888372146219
"Solyc00g005850",0,0,0,0,0,0
"Solyc00g005860",1.91127665293605,0,0.487604511818522,0,2.31335436926321,0.417118104345923
"Solyc00g005870",3.61990074291408,12.8081624797993,3.37593605349707,15.3566688209883,1.26574468119946,5.03850310745331
"Solyc00g005880",0.763336297639589,2.3085776128214,0.408958622815534,2.49487239161112,0.554352199086115,0.174920495370871
"Solyc00g005890",0,0,0,0,0,0
"Solyc00g005900",0,0,0,0,0,0
"Solyc00g005980",0,0,0,0,0,0
"Solyc00g006010",0,0,0,0,0,0
"Solyc00g006020",0,0,0.47840442668987,0,0,0
"Solyc00g006050",0,0,0,0,0,0
"Solyc00g006090",0,0,0,0,0,0
"Solyc00g006170",0,0,0,0,0,0
"Solyc00g006250",0,0,0,0,0,0
"Solyc00g006470",29.1553645575455,110.219149343687,115.116384961305,1588.74371421165,17.0930202135323,637.307390722412
"Solyc00g006480",0.126768349429432,0,0,0,0,0
"Solyc00g006490",27.5176694508227,26.1943936086357,22.3547374965087,25.6758103371066,20.1582799128829,28.6263053568166
"Solyc00g006500",0,0,0,0,0,0
"Solyc00g006510",0,0,0,0,0,0
"Solyc00g006520",0,0,0,0,0,0
"Solyc00g006530",0,0,0,0,0,0
"Solyc00g006540",0,0.0527318477201007,0,0,0,0
"Solyc00g006550",0,0,0,0,0,0
"Solyc00g006560",0,0,0,0,0,0
"Solyc00g006570",1.24136001189913,0.552099564107722,0.415662862533822,0.115262360864299,0.84515991008211,0.770414859393017
"Solyc00g006590",6.54395956890038,0.207889342040562,4.0693907406089,0.0868025186755834,2.05087500814164,0
"Solyc00g006600",0.0751219848470707,0,0.134155738701392,0.0558016191485893,0.0909254929717967,0.315597295880778
