gene,A1,A3,A5,A9,A10,A11,A13,A15,A17,A21,A22,A23,A25,A27,A29,A33,A34,A35
Solyc00g005000,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1
Solyc00g005020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g005040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g005050,775,804,266,703,492,659,1107,572,359,695,1010,653,772,1068,491,1876,497,620
Solyc00g005060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g005070,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Solyc00g005080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g005090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g005100,3,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1
Solyc00g005110,0,0,0,0,0,3,0,1,0,0,0,2,0,1,0,0,0,1
Solyc00g005120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Solyc00g005130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g005140,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0
Solyc00g005150,3,6,1,4,8,6,1,0,0,6,0,0,1,10,0,8,1,0
Solyc00g005160,1,6,0,2,1,4,0,0,3,1,2,0,2,1,0,0,0,3
Solyc00g005170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g005180,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Solyc00g005280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g005420,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g005430,6,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0
Solyc00g005440,1,0,1,0,2,0,6,1,0,3,4,0,6,0,1,0,0,0
Solyc00g005450,2,0,4,2,2,4,1,1,3,0,0,3,0,0,1,7,0,8
Solyc00g005460,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g005470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g005480,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g005490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Solyc00g005840,51,22,18,40,40,45,63,17,29,55,98,23,49,66,38,115,51,46
Solyc00g005850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g005860,14,4,7,0,20,6,5,4,2,0,5,4,10,4,14,4,9,7
Solyc00g005870,58,510,45,179,69,68,158,267,47,257,94,22,79,426,26,164,57,126
Solyc00g005880,0,34,5,17,5,2,8,8,3,22,5,0,10,16,6,3,8,4
Solyc00g005890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g005900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g005980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Solyc00g006010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g006020,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
Solyc00g006050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g006090,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Solyc00g006170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g006250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g006470,1231,595,192,816,53,19287,6176,32,849,14085,1006,5046,36,3722,186,10989,54,1804
Solyc00g006480,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Solyc00g006490,1481,1293,898,961,1199,1635,2024,689,817,1128,1859,1523,1390,2294,1087,2446,1182,1483
Solyc00g006500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g006510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g006520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g006530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g006540,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Solyc00g006550,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g006560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g006570,12,3,8,4,25,3,19,1,3,1,38,0,9,5,9,13,13,0
Solyc00g006590,61,24,56,2,32,122,100,9,39,1,35,80,26,37,29,0,28,152
Solyc00g006600,0,3,1,0,1,1,2,1,2,1,1,7,0,3,2,11,0,4
Solyc00g006630,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Solyc00g006650,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1
Solyc00g006660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g006670,4,7,0,1,11,7,0,2,0,3,1,1,0,6,2,5,0,0
Solyc00g006680,0,178,1,163,0,51,12,0,21,19,23,13,14,28,1,38,0,11
Solyc00g006690,264,42426,228,5360,563,2420,3571,70,3456,1713,2483,2420,1995,6152,505,2801,306,2632
Solyc00g006700,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
