gene_id,length
Solyc00g005000,1693
Solyc00g005020,486
Solyc00g005040,392
Solyc00g005050,983
Solyc00g005060,273
Solyc00g005070,81
Solyc00g005080,297
Solyc00g005090,285
Solyc00g005100,669
Solyc00g005110,435
Solyc00g005120,186
Solyc00g005130,366
Solyc00g005140,513
Solyc00g005150,1143
Solyc00g005160,405
Solyc00g005170,384
Solyc00g005180,99
Solyc00g005280,411
Solyc00g005420,396
Solyc00g005430,165
Solyc00g005440,510
Solyc00g005450,264
Solyc00g005460,156
Solyc00g005470,357
Solyc00g005480,366
Solyc00g005490,483
Solyc00g005840,1192
Solyc00g005850,525
Solyc00g005860,312
Solyc00g005870,1059
Solyc00g005880,558
Solyc00g005890,87
Solyc00g005900,297
Solyc00g005980,708
Solyc00g006010,579
Solyc00g006020,318
Solyc00g006050,525
Solyc00g006090,765
Solyc00g006170,612
Solyc00g006250,300
Solyc00g006470,561
Solyc00g006480,672
Solyc00g006490,2780
Solyc00g006500,246
Solyc00g006510,201
Solyc00g006520,507
Solyc00g006530,993
Solyc00g006540,1437
Solyc00g006550,633
Solyc00g006560,1287
Solyc00g006570,549
Solyc00g006590,729
Solyc00g006600,1134
Solyc00g006630,993
Solyc00g006650,159
Solyc00g006660,153
Solyc00g006670,142
Solyc00g006680,228
Solyc00g006690,338
Solyc00g006700,150
Solyc00g006800,1670
Solyc00g006810,1072
Solyc00g006820,2272
Solyc00g006830,3671
Solyc00g006840,345
Solyc00g006850,624
Solyc00g006860,303
Solyc00g006870,195
Solyc00g006880,273
Solyc00g006890,384
Solyc00g006900,486
Solyc00g007000,150
Solyc00g007010,2286
Solyc00g007020,426
Solyc00g007030,720
Solyc00g007040,708
Solyc00g007050,159
Solyc00g007060,1838
Solyc00g007070,1167
Solyc00g007080,823
Solyc00g007090,833
Solyc00g007100,1775
Solyc00g007110,1608
Solyc00g007120,2279
Solyc00g007130,1500
Solyc00g007140,324
Solyc00g007150,490
Solyc00g007160,504
Solyc00g007170,279
Solyc00g007180,1050
Solyc00g007190,1493
Solyc00g007200,1856
Solyc00g007210,174
Solyc00g007220,890
Solyc00g007230,645
Solyc00g007240,276
Solyc00g007250,477
Solyc00g007260,1660
Solyc00g007270,1347
Solyc00g007290,660
Solyc00g007300,2460
Solyc00g007310,195
Solyc00g007320,471
Solyc00g007330,903
Solyc00g007340,369
Solyc00g007350,888
Solyc00g007450,681
Solyc00g007550,111
Solyc00g007560,927
Solyc00g007570,231
Solyc00g007580,543
Solyc00g007590,396
Solyc00g007600,501
Solyc00g007610,84
Solyc00g007910,561
Solyc00g007920,366
Solyc00g007930,489
Solyc00g007940,987
Solyc00g007950,336
Solyc00g007960,426
Solyc00g007970,363
Solyc00g007980,336
Solyc00g007990,420
Solyc00g008000,1647
Solyc00g008010,198
Solyc00g008020,651
Solyc00g008030,378
Solyc00g008040,252
Solyc00g008050,423
Solyc00g008060,537
Solyc00g008070,624
Solyc00g008080,402
Solyc00g008090,312
Solyc00g008100,585
Solyc00g008110,1416
Solyc00g008120,366
Solyc00g008130,477
Solyc00g008140,807
Solyc00g008150,306
Solyc00g008160,453
Solyc00g008260,81
Solyc00g008270,165
Solyc00g008570,152
Solyc00g008580,207
Solyc00g008680,1596
Solyc00g008690,273
Solyc00g008800,129
Solyc00g008900,102
Solyc00g008910,150
Solyc00g008920,150
Solyc00g009020,1075
Solyc00g009030,1191
Solyc00g009040,2177
Solyc00g009050,1095
Solyc00g009060,865
Solyc00g009070,387
Solyc00g009080,729
Solyc00g009090,3428
Solyc00g009100,1811
Solyc00g009110,2262
Solyc00g009120,829
Solyc00g009130,584
Solyc00g009140,884
Solyc00g009240,369
Solyc00g009440,183
Solyc00g009540,702
Solyc00g009650,318
Solyc00g009660,171
Solyc00g009760,478
Solyc00g009770,237
Solyc00g009780,219
Solyc00g009790,87
Solyc00g009800,219
Solyc00g010100,192
Solyc00g010110,258
Solyc00g010210,492
Solyc00g010410,156
Solyc00g010420,171
Solyc00g010520,213
Solyc00g010530,177
Solyc00g010540,1026
Solyc00g010550,102
Solyc00g010750,666
Solyc00g010760,699
Solyc00g010770,711
Solyc00g010780,159
Solyc00g010790,81
Solyc00g010810,345
Solyc00g010930,159
Solyc00g011130,156
Solyc00g011140,165
Solyc00g011150,207
Solyc00g011160,105
Solyc00g011170,219
Solyc00g011180,150
Solyc00g011310,1062
Solyc00g011550,582
Solyc00g011560,558
Solyc00g011660,933
Solyc00g011670,183
Solyc00g011870,369
Solyc00g011880,898
Solyc00g011890,3282
Solyc00g012090,150
Solyc00g012310,1128
Solyc00g012430,177
Solyc00g012440,381
Solyc00g012540,1113
Solyc00g012640,1500
Solyc00g012650,378
Solyc00g012660,1218
Solyc00g012670,441
Solyc00g012680,378
Solyc00g012690,2004
Solyc00g012700,723
Solyc00g012800,156
Solyc00g012900,162
Solyc00g013000,78
Solyc00g013100,237
Solyc00g013110,267
Solyc00g013120,685
Solyc00g013130,1167
Solyc00g013140,1386
Solyc00g013150,294
Solyc00g013160,513
Solyc00g013170,210
Solyc00g013180,531
Solyc00g013190,306
Solyc00g013320,195
Solyc00g013330,711
Solyc00g013770,474
Solyc00g014170,285
Solyc00g014180,393
Solyc00g014190,216
Solyc00g014290,327
Solyc00g014390,267
Solyc00g014790,543
Solyc00g014800,492
Solyc00g014810,165
Solyc00g014820,700
Solyc00g014830,1371
Solyc00g014840,342
Solyc00g014850,312
Solyc00g014860,237
Solyc00g014960,1968
Solyc00g014970,1101
Solyc00g014980,1524
Solyc00g014990,336
Solyc00g015000,492
Solyc00g015600,156
Solyc00g015610,3345
Solyc00g015720,1563
Solyc00g015730,288
Solyc00g015740,936
Solyc00g015750,948
Solyc00g015760,861
Solyc00g015770,675
Solyc00g016470,189
Solyc00g016480,552
Solyc00g016490,879
Solyc00g016590,930
Solyc00g016790,162
Solyc00g016890,285
Solyc00g016900,381
Solyc00g016910,276
Solyc00g017210,1326
Solyc00g017220,795
Solyc00g017230,789
Solyc00g017530,165
Solyc00g017540,303
Solyc00g017550,303
Solyc00g017750,270
Solyc00g017760,216
Solyc00g017860,255
Solyc00g017870,768
Solyc00g017880,3252
Solyc00g017890,798
Solyc00g017900,426
Solyc00g017910,1200
Solyc00g017920,1071
Solyc00g017930,753
Solyc00g018760,558
Solyc00g018770,2226
Solyc00g018970,153
Solyc00g019610,486
Solyc00g019620,2154
Solyc00g019630,186
Solyc00g019730,441
Solyc00g019740,471
Solyc00g019750,210
Solyc00g019950,573
Solyc00g019960,231
Solyc00g019970,911
Solyc00g019980,869
Solyc00g019990,216
Solyc00g020000,174
Solyc00g020010,228
Solyc00g020020,859
Solyc00g020030,201
Solyc00g020040,621
Solyc00g020440,195
Solyc00g020540,2148
Solyc00g020840,718
Solyc00g020940,1044
Solyc00g020950,504
Solyc00g020960,1698
Solyc00g020970,1383
Solyc00g020980,213
Solyc00g020990,1164
Solyc00g021490,714
Solyc00g021500,615
Solyc00g021510,690
Solyc00g021520,1710
Solyc00g021530,2079
Solyc00g021630,654
Solyc00g021640,1504
Solyc00g021650,231
Solyc00g021660,225
Solyc00g022070,153
Solyc00g022080,213
Solyc00g022090,354
Solyc00g022100,480
Solyc00g022110,1501
Solyc00g022920,474
Solyc00g023020,531
Solyc00g023030,453
Solyc00g023040,1062
Solyc00g023050,447
Solyc00g023250,975
Solyc00g023260,1239
Solyc00g023270,537
Solyc00g023470,1047
Solyc00g023570,330
Solyc00g023580,258
Solyc00g023590,1058
Solyc00g023600,267
Solyc00g023700,597
Solyc00g023710,702
Solyc00g024010,327
Solyc00g024020,849
Solyc00g024030,1248
Solyc00g024040,1434
Solyc00g024050,639
Solyc00g024150,1005
Solyc00g024160,843
Solyc00g024170,321
Solyc00g024370,3213
Solyc00g024570,1674
Solyc00g024670,1155
Solyc00g024680,414
Solyc00g024690,219
Solyc00g025290,486
Solyc00g025300,162
Solyc00g025400,721
Solyc00g025500,1134
Solyc00g025510,207
Solyc00g025520,192
Solyc00g025530,783
Solyc00g025540,1140
Solyc00g025650,1473
Solyc00g025660,1143
Solyc00g026160,1615
Solyc00g026860,1347
Solyc00g026870,1398
Solyc00g026880,267
Solyc00g026890,405
Solyc00g026900,363
Solyc00g027120,870
Solyc00g027130,1098
Solyc00g027140,1758
Solyc00g027640,435
Solyc00g027650,609
Solyc00g027660,753
Solyc00g027670,1062
Solyc00g027770,1545
Solyc00g027870,1623
Solyc00g027970,609
Solyc00g027980,567
Solyc00g027990,1218
Solyc00g028090,855
Solyc00g028100,162
Solyc00g028110,825
Solyc00g028120,2403
Solyc00g028420,351
Solyc00g028520,708
Solyc00g028530,858
Solyc00g028540,795
Solyc00g028550,1563
Solyc00g028560,1002
Solyc00g028760,606
Solyc00g028960,312
Solyc00g029060,264
Solyc00g029070,417
Solyc00g029080,2871
Solyc00g029090,246
Solyc00g029190,1153
Solyc00g029290,1131
Solyc00g029300,1791
Solyc00g029500,189
Solyc00g029800,504
Solyc00g030000,1503
Solyc00g030100,174
Solyc00g030110,1140
Solyc00g030210,3441
Solyc00g030510,1379
Solyc00g030520,978
Solyc00g030820,339
Solyc00g031020,741
Solyc00g031030,966
Solyc00g031040,885
Solyc00g031050,1383
Solyc00g031060,477
Solyc00g031360,468
Solyc00g031370,1479
Solyc00g031380,660
Solyc00g031390,2301
Solyc00g031490,936
Solyc00g031500,1485
Solyc00g031700,948
Solyc00g031710,699
Solyc00g031720,354
Solyc00g031730,831
Solyc00g032030,444
Solyc00g032230,174
Solyc00g032940,327
Solyc00g033460,747
Solyc00g033860,1065
Solyc00g033870,540
Solyc00g033880,762
Solyc00g033890,636
Solyc00g033990,699
Solyc00g034000,1344
Solyc00g034010,438
Solyc00g034810,690
Solyc00g035010,2484
Solyc00g035020,987
Solyc00g036320,312
Solyc00g036520,558
Solyc00g036530,156
Solyc00g036540,282
Solyc00g036740,705
Solyc00g036750,960
Solyc00g036760,963
Solyc00g036960,474
Solyc00g038390,105
Solyc00g039290,912
Solyc00g039990,647
Solyc00g040290,1032
Solyc00g040390,1161
Solyc00g040490,369
Solyc00g041090,294
Solyc00g041190,237
Solyc00g041200,354
Solyc00g041210,981
Solyc00g041220,783
Solyc00g042120,834
Solyc00g042130,2115
Solyc00g042140,1197
Solyc00g042640,2259
Solyc00g042840,1137
Solyc00g042850,627
Solyc00g044350,512
Solyc00g044550,174
Solyc00g044750,600
Solyc00g045570,819
Solyc00g046570,546
Solyc00g046580,1323
Solyc00g046980,1026
Solyc00g047180,258
Solyc00g047190,318
Solyc00g047200,234
Solyc00g047700,510
Solyc00g047810,363
Solyc00g048410,843
Solyc00g048510,584
Solyc00g049210,1770
Solyc00g049220,207
Solyc00g049520,497
Solyc00g049620,288
Solyc00g049920,702
Solyc00g050020,912
Solyc00g050030,2106
Solyc00g050130,1383
Solyc00g050430,1385
Solyc00g052430,1237
Solyc00g052530,392
Solyc00g052540,321
Solyc00g052940,1079
Solyc00g053440,580
Solyc00g053740,324
Solyc00g055940,384
Solyc00g055950,690
Solyc00g055960,1287
Solyc00g055970,342
Solyc00g055980,864
Solyc00g056180,192
Solyc00g056680,1614
Solyc00g057280,483
Solyc00g057880,399
Solyc00g058280,837
Solyc00g058480,255
Solyc00g058490,858
Solyc00g058890,411
Solyc00g058900,1134
Solyc00g059100,1137
Solyc00g059500,291
Solyc00g060700,2436
Solyc00g060710,414
Solyc00g060810,829
Solyc00g062710,306
Solyc00g063110,702
Solyc00g063510,666
Solyc00g065510,741
Solyc00g065610,516
Solyc00g065620,465
Solyc00g065630,1587
Solyc00g065930,1869
Solyc00g065940,303
Solyc00g066140,1503
Solyc00g066150,1107
Solyc00g066350,309
Solyc00g066360,855
Solyc00g066370,177
Solyc00g067470,165
Solyc00g068970,684
Solyc00g068980,165
Solyc00g069680,237
Solyc00g069880,829
Solyc00g070680,324
Solyc00g071180,1117
Solyc00g071580,336
Solyc00g071590,282
Solyc00g071600,726
Solyc00g072100,968
Solyc00g072400,1233
Solyc00g072800,632
Solyc00g073200,930
Solyc00g073900,945
Solyc00g073910,513
Solyc00g074210,447
Solyc00g074810,1110
Solyc00g074820,927
Solyc00g074830,438
Solyc00g075030,997
Solyc00g075040,1920
Solyc00g075440,834
Solyc00g075450,317
Solyc00g076250,309
Solyc00g079050,198
Solyc00g080550,150
Solyc00g080750,1022
Solyc00g082150,1547
Solyc00g082550,510
Solyc00g084650,333
Solyc00g084750,884
Solyc00g084760,687
Solyc00g084770,297
Solyc00g084870,575
Solyc00g085070,1785
Solyc00g085370,81
Solyc00g085770,192
Solyc00g085780,219
Solyc00g088080,537
Solyc00g088090,2400
Solyc00g088190,774
Solyc00g088200,1191
Solyc00g088210,402
Solyc00g090110,918
Solyc00g090120,582
Solyc00g090130,1062
Solyc00g090430,1077
Solyc00g090630,462
Solyc00g090640,468
Solyc00g090650,1164
Solyc00g090660,192
Solyc00g090860,444
Solyc00g090870,700
Solyc00g091170,1452
Solyc00g092870,228
Solyc00g092880,207
Solyc00g092890,354
Solyc00g092900,1071
Solyc00g093000,126
Solyc00g093100,585
Solyc00g093300,750
Solyc00g093310,282
Solyc00g094010,894
Solyc00g094020,1569
Solyc00g094520,186
Solyc00g094530,390
Solyc00g094540,330
Solyc00g094550,234
Solyc00g094850,2451
Solyc00g095450,744
Solyc00g095460,1005
Solyc00g095760,1002
Solyc00g095860,672
Solyc00g096060,408
Solyc00g096460,222
Solyc00g097260,399
Solyc00g097760,750
Solyc00g097960,441
Solyc00g098560,841
Solyc00g099160,351
Solyc00g099460,1467
Solyc00g099470,1050
Solyc00g099570,849
Solyc00g099580,1380
Solyc00g099880,444
Solyc00g100880,896
Solyc00g101700,489
Solyc00g102000,195
Solyc00g102400,3021
Solyc00g104200,1206
Solyc00g104210,471
Solyc00g104310,723
Solyc00g104320,264
Solyc00g104330,639
Solyc00g104630,810
Solyc00g104730,597
Solyc00g104740,684
Solyc00g104940,447
Solyc00g105340,939
Solyc00g105350,1740
Solyc00g105750,1500
Solyc00g106650,225
Solyc00g107050,435
Solyc00g107550,201
Solyc00g108550,486
Solyc00g109450,150
Solyc00g109850,1071
Solyc00g109860,636
Solyc00g110060,240
Solyc00g110070,2520
Solyc00g110370,345
Solyc00g110870,1457
Solyc00g111170,492
Solyc00g111270,1113
Solyc00g111370,657
Solyc00g111770,312
Solyc00g111780,207
Solyc00g112180,153
Solyc00g112190,1224
Solyc00g112490,1215
Solyc00g112500,993
Solyc00g112600,153
Solyc00g112700,819
Solyc00g112710,258
Solyc00g112810,939
Solyc00g112820,207
Solyc00g112830,549
Solyc00g112930,325
Solyc00g113230,252
Solyc00g113330,252
Solyc00g113730,504
Solyc00g113740,162
Solyc00g113750,870
Solyc00g114550,726
Solyc00g116150,600
Solyc00g117450,652
Solyc00g117650,246
Solyc00g118680,470
Solyc00g118690,261
Solyc00g120120,327
Solyc00g120820,432
Solyc00g120830,849
Solyc00g120930,486
Solyc00g121230,1581
Solyc00g121730,1737
Solyc00g122530,363
Solyc00g123030,714
Solyc00g123040,597
Solyc00g123240,201
Solyc00g124840,426
Solyc00g124850,294
Solyc00g124860,861
Solyc00g125260,939
Solyc00g125270,822
Solyc00g125580,648
Solyc00g125980,204
Solyc00g125990,645
Solyc00g126000,153
Solyc00g126010,174
Solyc00g126420,318
Solyc00g126430,864
Solyc00g126440,585
Solyc00g127540,303
Solyc00g127550,450
Solyc00g127560,1191
Solyc00g127660,539
Solyc00g127670,477
Solyc00g127870,715
Solyc00g128870,752
Solyc00g129670,846
Solyc00g129680,639
Solyc00g129880,1146
Solyc00g129980,177
Solyc00g130180,525
Solyc00g130190,2193
Solyc00g130290,789
Solyc00g130690,954
Solyc00g130700,651
Solyc00g130800,1155
Solyc00g130810,432
Solyc00g131610,528
Solyc00g131710,1530
Solyc00g133110,1644
Solyc00g133710,765
Solyc00g133720,816
Solyc00g134620,861
Solyc00g134820,750
Solyc00g134830,1539
Solyc00g134840,447
Solyc00g135040,705
Solyc00g135050,429
Solyc00g135060,1014
Solyc00g135260,840
Solyc00g136260,411
Solyc00g136560,636
Solyc00g138060,1144
Solyc00g139760,2172
Solyc00g140060,830
Solyc00g141360,690
Solyc00g141560,468
Solyc00g142160,318
Solyc00g142170,1046
Solyc00g143770,234
Solyc00g144470,1848
Solyc00g145170,429
Solyc00g147570,1016
Solyc00g147770,1182
Solyc00g149970,588
Solyc00g153680,717
Solyc00g153980,168
Solyc00g154480,1566
Solyc00g154980,891
Solyc00g156980,760
Solyc00g157080,522
Solyc00g157180,1130
Solyc00g160780,505
Solyc00g163580,288
Solyc00g164580,534
Solyc00g164680,1473
Solyc00g165080,429
Solyc00g165090,348
Solyc00g165190,219
Solyc00g166190,186
Solyc00g166490,1131
Solyc00g166690,585
Solyc00g167290,693
Solyc00g167300,1017
Solyc00g167800,387
Solyc00g168200,69
Solyc00g170200,384
Solyc00g170210,416
Solyc00g170510,876
Solyc00g171710,921
Solyc00g171810,1354
Solyc00g172410,1080
Solyc00g173430,399
Solyc00g174330,896
Solyc00g174340,480
Solyc00g175240,477
Solyc00g178340,612
Solyc00g179240,165
Solyc00g179640,216
Solyc00g179840,291
Solyc00g180440,255
Solyc00g180840,702
Solyc00g181240,180
Solyc00g181250,794
Solyc00g183050,120
Solyc00g183550,2514
Solyc00g184350,416
Solyc00g185750,1179
Solyc00g185850,219
Solyc00g186050,540
Solyc00g187050,1803
Solyc00g188250,405
Solyc00g188750,234
Solyc00g188850,694
Solyc00g192150,1840
Solyc00g195350,315
Solyc00g195360,798
Solyc00g196060,1174
Solyc00g196460,351
Solyc00g198360,693
Solyc00g199960,438
Solyc00g201060,153
Solyc00g201160,1101
Solyc00g201460,681
Solyc00g201760,150
Solyc00g202560,912
Solyc00g203660,591
Solyc00g206460,771
Solyc00g207960,447
Solyc00g209460,333
Solyc00g209560,762
Solyc00g210860,261
Solyc00g212260,2151
Solyc00g213960,183
Solyc00g215560,297
Solyc00g217560,528
Solyc00g217960,444
Solyc00g218560,234
Solyc00g220360,213
Solyc00g222060,270
Solyc00g222460,285
Solyc00g226760,990
Solyc00g227860,1413
Solyc00g227960,921
Solyc00g228260,312
Solyc00g229260,561
Solyc00g230060,879
Solyc00g230070,264
Solyc00g230080,357
Solyc00g230280,396
Solyc00g231680,1194
Solyc00g231780,324
Solyc00g233480,552
Solyc00g237680,189
Solyc00g240580,153
Solyc00g244280,183
Solyc00g244290,492
Solyc00g244300,258
Solyc00g245200,186
Solyc00g246800,222
Solyc00g247300,1726
Solyc00g249200,648
Solyc00g249900,803
Solyc00g249910,258
Solyc00g254110,213
Solyc00g254910,786
Solyc00g255510,1356
Solyc00g256710,249
Solyc00g257110,1961
Solyc00g263210,105
Solyc00g265110,270
Solyc00g265510,150
Solyc00g266110,297
Solyc00g268310,1398
Solyc00g269810,1125
Solyc00g270510,555
Solyc00g272810,726
Solyc00g273110,189
Solyc00g275310,1197
Solyc00g277510,201
Solyc00g278110,652
Solyc00g280110,150
Solyc00g281110,369
Solyc00g282510,1776
Solyc00g283010,1938
Solyc00g283110,162
Solyc00g284510,810
Solyc00g286010,369
Solyc00g286020,939
Solyc00g286030,585
Solyc00g287330,561
Solyc00g289230,1047
Solyc00g294230,600
Solyc00g294630,450
Solyc00g297330,399
Solyc00g300430,192
Solyc00g300730,276
Solyc00g303630,87
Solyc00g304030,3243
Solyc00g304630,597
Solyc00g306730,1509
Solyc00g306830,1173
Solyc00g308530,165
Solyc00g308930,345
Solyc00g309530,159
Solyc00g311230,644
Solyc00g313030,162
Solyc00g313530,183
Solyc00g313930,150
Solyc00g316030,861
Solyc00g316530,237
Solyc00g316730,723
Solyc00g318030,486
Solyc00g318130,849
Solyc00g318830,558
Solyc00g320430,180
Solyc00g322630,297
Solyc00g322830,597
Solyc00g323130,889
Solyc00g324530,420
Solyc01g005000,1717
Solyc01g005010,1098
Solyc01g005020,3925
