"","gene.ID","imprinting.category","Species.in.which.it.is.imprinted","annotated.function"
"6","Solyc01g010000","paternally expressed","S. peruvianum","ACT domain-containing protein (AHRD V1 **-- D7M3X3_ARALY); contains Interpro domain(s)  IPR002912  Amino acid-binding ACT "
"8","Solyc01g016410","paternally expressed","S. peruvianum","RING finger protein 43 (AHRD V1 *-*- RNF43_HUMAN); contains Interpro domain(s)  IPR011016  Zinc finger, RING-CH-type "
"9","Solyc01g057760","paternally expressed","S. peruvianum","ATP dependent RNA helicase (AHRD V1 *-*- B3LNW9_YEAS1); contains Interpro domain(s)  IPR011545  DNA/RNA helicase, DEAD/DEAH box type, N-terminal "
"32","Solyc01g103850","paternally expressed","S. peruvianum","Ubiquitin-like domain containing CTD phosphatase 1 (AHRD V1 ***- B6TA38_MAIZE); contains Interpro domain(s)  IPR011943  HAD-superfamily hydrolase, subfamily IIID "
"40","Solyc01g109830","paternally expressed","S. peruvianum","Thymidylate synthase (AHRD V1 ***- D8LWN8_BLAHO); contains Interpro domain(s)  IPR012262  Bifunctional dihydrofolate reductase/thymidylate synthase "
"49","Solyc02g068230","paternally expressed","S. peruvianum","Membrane-anchored ubiquitin-fold protein 2 (AHRD V1 ***- D7M7C8_ARALY); contains Interpro domain(s)  IPR017000  Membrane-anchored ubiquitin-fold protein, HCG-1 "
"50","Solyc02g068560","paternally expressed","S. peruvianum","Chromodomain helicase DNA binding protein 5 (AHRD V1 *--- A2A8L1_MOUSE); contains Interpro domain(s)  IPR000330  SNF2-related "
"55","Solyc02g071270","paternally expressed","S. peruvianum","RNA-binding protein (AHRD V1 *--* A8JCE7_CHLRE); contains Interpro domain(s)  IPR007201  RNA recognition motif 2 "
"56","Solyc02g077780","paternally expressed","S. peruvianum","Necrotic spotted lesions 1 (Fragment) (AHRD V1 *-*- B6ZA38_HELPE); contains Interpro domain(s)  IPR001862  Membrane attack complex component/perforin/complement C9 "
"57","Solyc02g080260","paternally expressed","S. peruvianum","Homeobox leucine-zipper protein (AHRD V1 ***- Q8H962_ZINEL); contains Interpro domain(s)  IPR002913  Lipid-binding START "
"76","Solyc03g007440","paternally expressed","S. peruvianum","Unknown Protein (AHRD V1)"
"77","Solyc03g034230","paternally expressed","S. peruvianum","Unknown Protein (AHRD V1)"
"80","Solyc03g098590","paternally expressed","S. peruvianum","RING finger protein 13 (AHRD V1 *--- RNF13_CHICK); contains Interpro domain(s)  IPR018957  Zinc finger, C3HC4 RING-type "
"81","Solyc03g098790","paternally expressed","S. peruvianum","Kunitz-type protease inhibitor (AHRD V1 **** Q3S488_SOLTU); contains Interpro domain(s)  IPR002160  Proteinase inhibitor I3, Kunitz legume "
"91","Solyc03g117660","paternally expressed","S. peruvianum","Mandelonitrile lyase (AHRD V1 *-*- B6SVJ2_MAIZE); contains Interpro domain(s)  IPR001841  Zinc finger, RING-type "
"95","Solyc03g123440","paternally expressed","S. peruvianum","HhH-GPD family protein (AHRD V1 *--- D1CFH3_THET1); contains Interpro domain(s)  IPR003265  HhH-GPD domain "
"99","Solyc04g011580","paternally expressed","S. peruvianum","mRNA binding protein Pumilio 2 (AHRD V1 *-** C1GCQ9_PARBD); contains Interpro domain(s)  IPR011989  Armadillo-like helical "
