"","gene.ID","imprinting.category","Species.in.which.it.is.imprinted","annotated.function"
"2","Solyc01g006880","paternally expressed","S. chilense","Histone-lysine N-methyltransferase (AHRD V1 *-*- B6JWJ3_SCHJY); contains Interpro domain(s)  IPR001214  SET "
"7","Solyc01g015000","paternally expressed","S. chilense","Nitrogen regulatory protein P-II (AHRD V1 *-*- Q8DLA5_THEEB); contains Interpro domain(s)  IPR002187  Nitrogen regulatory protein PII "
"10","Solyc01g065490","paternally expressed","S. chilense","Aldo/keto reductase (AHRD V1 **-- A2Q5A8_MEDTR); contains Interpro domain(s)  IPR001395  Aldo/keto reductase "
"41","Solyc01g109830","paternally expressed","S. chilense","Thymidylate synthase (AHRD V1 ***- D8LWN8_BLAHO); contains Interpro domain(s)  IPR012262  Bifunctional dihydrofolate reductase/thymidylate synthase "
"45","Solyc02g032120","paternally expressed","S. chilense","Zinc finger protein 207 (AHRD V1 *-*- Q28FC3_XENTR); contains Interpro domain(s)  IPR007087  Zinc finger, C2H2-type "
"46","Solyc02g038760","paternally expressed","S. chilense","AT-hook motif nuclear localized protein 2 (AHRD V1 ***- A1A6F0_ORYSJ); contains Interpro domain(s)  IPR005175  Protein of unknown function DUF296 "
"74","Solyc03g006350","paternally expressed","S. chilense","Zinc finger CCCH domain-containing protein 27 (AHRD V1 *-*- C3H27_ARATH); contains Interpro domain(s)  IPR000571  Zinc finger, CCCH-type "
"75","Solyc03g007270","paternally expressed","S. chilense","Protein phosphatase 2C (AHRD V1 ***- B5A9S6_HEVBR); contains Interpro domain(s)  IPR015655  Protein phosphatase 2C "
"84","Solyc03g111640","paternally expressed","S. chilense","Eukaryotic translation initiation factor 4 gamma 2 (Fragment) (AHRD V1 *--- A3KQB2_DANRE); contains Interpro domain(s)  IPR003891  Initiation factor eIF-4 gamma, MA3 "
"89","Solyc03g116880","paternally expressed","S. chilense","DNA-3-methyladenine glycosylase I (AHRD V1 ***- B6U9I4_MAIZE); contains Interpro domain(s)  IPR005019  Methyladenine glycosylase "
"100","Solyc04g014250","paternally expressed","S. chilense","FIP1 (AHRD V1 **-- B6SNS7_MAIZE); contains Interpro domain(s)  IPR004182  GRAM "
"108","Solyc04g063380","paternally expressed","S. chilense","F-box/LRR-repeat protein 2 (AHRD V1 ***- B6TAC3_MAIZE); contains Interpro domain(s)  IPR006553  Leucine-rich repeat, cysteine-containing subtype "
"117","Solyc04g078540","paternally expressed","S. chilense","Cathepsin B-like cysteine proteinase (AHRD V1 **-* CYSP_SCHMA); contains Interpro domain(s)  IPR013128  Peptidase C1A, papain "
"119","Solyc04g081100","paternally expressed","S. chilense","Amine oxidase (AHRD V1 *-*- A4RUP0_OSTLU); contains Interpro domain(s)  IPR002937  Amine oxidase "
"122","Solyc04g082700","paternally expressed","S. chilense","Solute carrier family 2, facilitated glucose transporter member 12 (AHRD V1 *-*- GTR12_MOUSE); contains Interpro domain(s)  IPR016196  Major facilitator superfamily, general substrate transporter "
"129","Solyc05g014640","paternally expressed","S. chilense","En/Spm-like transposon protein (AHRD V1 *--- O04210_ARATH)"
"132","Solyc05g051040","paternally expressed","S. chilense","RING finger family protein (AHRD V1 ***- D6RU92_SILLA); contains Interpro domain(s)  IPR018957  Zinc finger, C3HC4 RING-type "
"135","Solyc06g005250","paternally expressed","S. chilense","mRNA clone RAFL24-05-D16 (AHRD V1 ***- Q67YW5_ARATH)"
"141","Solyc06g062530","paternally expressed","S. chilense","Serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B beta isoform (AHRD V1 ***- 2ABB_ARATH); contains Interpro domain(s)  IPR000009  Protein phosphatase 2A, regulatory subunit PR55 "
"150","Solyc06g073670","paternally expressed","S. chilense","Protein FAR1-RELATED SEQUENCE 3 (AHRD V1 ***- FRS3_ARATH); contains Interpro domain(s)  IPR018289  MULE transposase, conserved domain "
"184","Solyc08g006820","paternally expressed","S. chilense","Transmembrane 9 superfamily protein member 4 (AHRD V1 ***- B6SXZ2_MAIZE); contains Interpro domain(s)  IPR004240  Nonaspanin (TM9SF) "
"189","Solyc08g060810","paternally expressed","S. chilense","Ubiquitin ligase complex F-box protein GRR1 (AHRD V1 *-** C5G8H6_AJEDR); contains Interpro domain(s)  IPR006553  Leucine-rich repeat, cysteine-containing subtype "
"203","Solyc09g007290","paternally expressed","S. chilense","Nuclear transcription factor Y subunit B-3 (AHRD V1 **** B6UBN3_MAIZE); contains Interpro domain(s)  IPR003957  Transcription factor, CBFA/NFYB, DNA topoisomerase "
"206","Solyc09g010640","paternally expressed","S. chilense","SLT1 protein (AHRD V1 **-- Q9FQY3_TOBAC)"
"212","Solyc09g064280","paternally expressed","S. chilense","Unknown Protein (AHRD V1)"
"217","Solyc09g066480","paternally expressed","S. chilense","Chromodomain-helicase-DNA-binding protein 2 (AHRD V1 *--- CHD2_HUMAN); contains Interpro domain(s)  IPR000330  SNF2-related "
"218","Solyc09g072670","paternally expressed","S. chilense","Rho GDP dissociation inhibitor 1 (AHRD V1 **** Q705X4_MEDTR); contains Interpro domain(s)  IPR000406  RHO protein GDP dissociation inhibitor "
"220","Solyc09g074510","paternally expressed","S. chilense","Tubby-like F-box protein 3 (AHRD V1 ***- TLP3_ARATH); contains Interpro domain(s)  IPR000007  Tubby, C-terminal "
"223","Solyc09g075850","paternally expressed","S. chilense","Transmembrane protein 49 (AHRD V1 ***- B6TDW5_MAIZE)"
"250","Solyc11g072050","paternally expressed","S. chilense","WD-repeat protein (AHRD V1 *--- Q7ND05_GLOVI); contains Interpro domain(s)  IPR017986  WD40 repeat, region "
"252","Solyc12g005270","paternally expressed","S. chilense","Histone H2A (AHRD V1 ***- D7KGW6_ARALY); contains Interpro domain(s)  IPR002119  Histone H2A "
"258","Solyc12g011340","paternally expressed","S. chilense","Polyadenylate-binding protein (AHRD V1 *-*- D3TN92_GLOMM); contains Interpro domain(s)  IPR000504  RNA recognition motif, RNP-1 "
"261","Solyc12g014170","paternally expressed","S. chilense","Bromodomain containing 2 (Fragment) (AHRD V1 *--- A2AAU1_HUMAN); contains Interpro domain(s)  IPR001487  Bromodomain "
"269","Solyc12g044630","paternally expressed","S. chilense","Profilin (AHRD V1 ***- Q9SMC0_TOBAC); contains Interpro domain(s)  IPR005455  Profilin, plant "
